### This localisation file has been automatically generated ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#   <https://github.com/moretrim/trait-lineariser>            #;;;;;;;;;;;;;;
## UI tweaks;;;;;;;;;;;;;;
MILITARY_PERSONALITY;*;*;*;*;*;*;*;*;*;*;*;*;*;
MILITARY_BACKGROUND;Personality & Background:\n  $NAME$;Personnalité & caractéristique :\n  $NAME$;Persönlichkeit & Hintergrund:\n  $NAME$;;Personalidad y historial:\n  $NAME$;;;;;;;;;
UV_BACKGROUND_LABEL;Personality & Background;Personnalité & caractéristique;Persönlichkeit & Hintergrund;;Personalidad y historial;;;;;;;;;
DEFINE_ADMIRAL_EFFECT;Gain the service of §YAdmiral $NAME$§W ($BAC$).\n;Obtenir les services de l'§Yamiral $NAME$§W ($BAC$).\n;§YAdmiral $NAME$§W ($BAC$) rekrutieren.\n;;Obtener los servicios del §Yalmirante $NAME$§W ($BAC$).\n;;;;;;;;;
DEFINE_GENERAL_EFFECT;Gain the service of §YGeneral $NAME$§W ($BAC$).\n;Obtenir les services du §Ygénéral $NAME$§W ($BAC$).\n;§YGeneral $NAME$§W ($BAC$) rekrutieren.\n;;Obtener los servicios del §Ygeneral $NAME$§W ($BAC$).\n;;;;;;;;;
no_personality;*;*;*;*;*;*;*;*;*;*;*;*;*;
unit_personality;*;*;*;*;*;*;*;*;*;*;*;*;*;
no_background;No Traits;Aucune caractéristique;Keine Eigenschaften;;Sin rasgos;;;;;;;;;
## Personality x background pairs;;;;;;;;;;;;;;
aggressivexnationalist;§h+2§!              §G!!!§! Aggressive, nationalist;;;;;;;;;;;;;
aggressivexwar_college;§h+2§!                 Aggressive, war college;§h+2§!                 Agressif, école militaire;§h+2§!                 Aggressiv, militärakademie;;;;;;;;;;;
aggressivexcavalry_school;§G+3§!                 Aggressive, cavalry school;§G+3§!                 Agressif, école de cavalerie;§G+3§!                 Aggressiv, kavallerieschule;;;;;;;;;;;
aggressivexengineer;§h+1§!      §h  +5%§!   Aggressive, engineer;§h+1§!      §h  +5%§!   Agressif, génie;§h+1§!      §h  +5%§!   Aggressiv, ingenieur;;;;;;;;;;;
aggressivexarmchair_general;§h+1§!      §h+10%§!   Aggressive, armchair general;§h+1§!      §h+10%§!   Agressif, général de façade;§h+1§!      §h+10%§!   Aggressiv, sesselgeneral;;;;;;;;;;;
aggressivexbureaucrat_speed;§h+1§!      §h+15%§!   Aggressive, bureaucrat speed;§h+1§!      §h+15%§!   Agressif, vitesse de bureaucrate;§h+1§!      §h+15%§!   Aggressiv, bürokratische geschwindigkeit;;;;;;;;;;;
aggressivexgenerals_aide;§h+1§! §h+1§!            Aggressive, general's aide;§h+1§! §h+1§!            Agressif, aide de camp;§h+1§! §h+1§!            Aggressiv, generalsadjutant;;;;;;;;;;;
aggressivexamateur;§h+1§! §u–1§! §u–25%§!   Aggressive, amateur;§h+1§! §u–1§! §u–25%§!   Agressif, amateur;§h+1§! §u–1§! §u–25%§!   Aggressiv, amateur;;;;;;;;;;;
aggressivexmadman;§h+1§!              §u¿§! Aggressive, madman;§h+1§!              §u¿§! Agressif, fou;§h+1§!              §u¿§! Aggressiv, irrer;;;;;;;;;;;
aggressivexaristocrat;§h+1§!              §h?§! Aggressive, aristocrat;§h+1§!              §h?§! Agressif, aristocrate;§h+1§!              §h?§! Aggressiv, aristokrat;;;;;;;;;;;
aggressivexdrillmaster;§h+1§!              §G!!!§! Aggressive, drillmaster;§h+1§!              §G!!!§! Agressif, sergent instructeur;§h+1§!              §G!!!§! Aggressiv, zuchtmeister;;;;;;;;;;;
aggressivexbutcher;§h+1§!                 Aggressive, butcher;§h+1§!                 Agressif, boucher;§h+1§!                 Aggressiv, schlächter;;;;;;;;;;;
aggressivexexranker;§h+1§!              §u¿§! Aggressive, exranker;§h+1§!              §u¿§! Agressif, ancien militaire;§h+1§!              §u¿§! Aggressiv, ex-gefreiter;;;;;;;;;;;
aggressivexadventurer;§G+3§!                 Aggressive, adventurer;§G+3§!                 Agressif, aventurier;§G+3§!                 Aggressiv, abenteurer;;;;;;;;;;;
aggressivexdebutante;§h+1§!                 Aggressive, debutante;§h+1§!                 Agressif, débutant;§h+1§!                 Aggressiv, debütant;;;;;;;;;;;
aggressivexcolonial_b;§h+1§! §u–2§! §h+20%§!   Aggressive, colonial;§h+1§! §u–2§! §h+20%§!   Agressif, colonial;§h+1§! §u–2§! §h+20%§!   Aggressiv, kolonial;;;;;;;;;;;
aggressivexdisgraced;§h+1§!                 Aggressive, disgraced;§h+1§!                 Agressif, déshonoré;§h+1§!                 Aggressiv, in ungnade gefallener;;;;;;;;;;;
aggressivexpriest;§h+1§!                 Aggressive, priest;§h+1§!                 Agressif, prêtre;§h+1§!                 Aggressiv, priester;;;;;;;;;;;
aggressivexrising_star;§h+1§!                 Aggressive, rising star;§h+1§!                 Agressif, étoile montante;§h+1§!                 Aggressiv, aufsteigender stern;;;;;;;;;;;
aggressivexpolitician;§h+1§!              §u¿§! Aggressive, politician;§h+1§!              §u¿§! Agressif, politicien;§h+1§!              §u¿§! Aggressiv, politiker;;;;;;;;;;;
aggressivexpoet;§u–1§!              §G!!!§! Aggressive, poet;§u–1§!              §G!!!§! Agressif, poète;§u–1§!              §G!!!§! Aggressiv, poet;;;;;;;;;;;
aggressivexcartographer;§h+1§!      §G+40%§!   Aggressive, cartographer;§h+1§!      §G+40%§!   Agressif, cartographe;§h+1§!      §G+40%§!   Aggressiv, kartograf;;;;;;;;;;;
