### Header (CP-1252 autodetection: “‘quotes’ in quotes”, „größer”, «ŒUF? —DÉÇU…») ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
# Provinces #;;;;;;;;;;;;;;
PROV77;Saint-Pierre-et-Miquelon;Saint-Pierre-et-Miquelon;Saint-Pierre-et-Miquelon;;San Pedro y Miguelón;;;;;;;;;
PROV92;Coeur d'Alene;Cœur d'Alene;Coeur d'Alene;;Coeur d'Alene;;;;;;;;;
PROV146;St. Louis;St. Louis;St. Louis;;St.. Louis;;;;;;;;;
PROV199;St. Augustine;St. Augustine;St. Augustine;;St. Augustine;;;;;;;;;
PROV421;Saint-Brieuc;Saint-Brieuc;Saint-Brieuc;;Saint-Brieuc;;;;;;;;;
PROV431;Mâcon;Mâcon;Mâcon;;Mâcon;;;;;;;;;
PROV432;Besançon;Besançon;Besançon;;Besançon;;;;;;;;;
PROV438;Orléans;Orléans;Orléans;;Orléans;;;;;;;;;
PROV452;Saint-Étienne;Saint-Étienne;Saint-Étienne;;Saint-Étienne;;;;;;;;;
PROV459;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;;Mont-de-Marsan;;;;;;;;;
PROV471;Fréjus;Fréjus;Fréjus;;Fréjus;;;;;;;;;
PROV994;Saint Petersburg;Saint-Pétersbourg;Saint Petersburg;;San Petersburgo;;;;;;;;;
PROV2213;Port-au-Prince;Port-au-Prince;Port-au-Prince;;Puerto Príncipe;;;;;;;;;
PROV2215;Cap-Haïtien;Cap-Haïtien;Cap-Haïtien;;Cap-Haïtien;;;;;;;;;
PROV2234;Curaçao;Curaçao;Curaçao;;Curaçao;;;;;;;;;
PROV2727;Coast of Brittany;Côte bretonne;Bretonische Küste;;Costa de Bretaña;;;;;;;;;
PROV2729;Côte d'Argent;Côte d'Argent;Côte d'Argent;;Côte d'Argent;;;;;;;;;
PROV2750;Côte d'Azur;Côte d'Azur;Côte d'Azur;;Costa Azul;;;;;;;;;
